"id","name","catchPhrase"
"0","Wiegand - Schinner","Advanced 5th generation matrix"
"1","Metz, Durgan and Conroy","Synchronised hybrid archive"
"2","Sawayn - Donnelly","Right-sized systemic contingency"
"3","Hettinger Group","Function-based discrete knowledge user"
"4","Dicki - Stanton","Operative bi-directional infrastructure"
"5","Upton - Purdy","Phased zero defect firmware"
"6","Robel - Schoen","Profound directional solution"
"7","Jast - Pfannerstill","De-engineered stable methodology"
"8","Murray, Klein and Harvey","Diverse static intranet"
"9","Batz, Rohan and Kilback","Stand-alone eco-centric complexity"
"10","Orn - Gusikowski","Open-source system-worthy open architecture"
"11","Cole, Legros and Gleichner","Public-key object-oriented functionalities"
"12","Anderson Group","Devolved real-time analyzer"
"13","Macejkovic Group","Phased needs-based methodology"
"14","Halvorson, Lowe and Wiza","Total well-modulated complexity"
"15","Klocko, Waters and Botsford","Open-source bandwidth-monitored firmware"
"16","Hudson - Steuber","Vision-oriented disintermediate local area network"
"17","Hintz, Green and Daniel","De-engineered explicit matrices"
"18","Dickinson LLC","Ergonomic dedicated monitoring"
"19","Durgan LLC","Integrated zero administration intranet"
"20","Emard, Klocko and Gulgowski","De-engineered discrete pricing structure"
"21","Wisozk - Johnston","Digitized client-server portal"
"22","Wilderman, Steuber and Corkery","Streamlined asynchronous hierarchy"
"23","Howell - Harvey","Fully-configurable multi-state focus group"
"24","Beer, Barton and Robel","Re-contextualized maximized extranet"
"25","Schmeler Inc","Operative mobile capability"
"26","Swaniawski, Beer and Fisher","Pre-emptive optimal analyzer"
"27","Denesik Inc","Front-line didactic internet solution"
"28","Jakubowski - Ledner","Open-source grid-enabled strategy"
"29","Wunsch and Sons","Phased tertiary pricing structure"
"30","Cremin - Roberts","Intuitive didactic project"
"31","Erdman - Macejkovic","Digitized multi-state customer loyalty"
"32","Bayer - Bogan","Balanced secondary protocol"
"33","Howell, Rau and Willms","Ergonomic logistical hub"
"34","Glover, McCullough and Lockman","Customer-focused motivating process improvement"
"35","Tremblay Group","Re-engineered regional groupware"
"36","Orn - Cremin","Persevering next generation policy"
"37","Braun Group","Organized actuating throughput"
"38","Ullrich - Casper","Horizontal asynchronous data-warehouse"
"39","O'Kon - Kassulke","User-centric solution-oriented parallelism"
"40","Heathcote, Conn and Bogan","Public-key heuristic firmware"
"41","Kessler and Sons","Triple-buffered 24 hour paradigm"
"42","Haley, Hamill and Hyatt","Stand-alone interactive hardware"
"43","Pollich - Block","Networked executive interface"
"44","Hills and Sons","Programmable optimal attitude"
"45","Okuneva, Pacocha and Kulas","Open-source tangible service-desk"
"46","Auer LLC","Implemented interactive emulation"
"47","Bogan LLC","Synchronised optimal strategy"
"48","Kunde, Mueller and Jones","Ergonomic eco-centric groupware"
"49","Gulgowski Inc","Grass-roots stable projection"
"50","Wilkinson Group","Digitized methodical help-desk"
"51","Torphy - Kub","Focused responsive moderator"
"52","Robel, Klocko and Bode","Configurable client-server encoding"
"53","Herzog Inc","Configurable real-time moderator"
"54","Hegmann LLC","Cross-platform maximized firmware"
"55","Hilpert - Cassin","Managed scalable local area network"
"56","Deckow Inc","Adaptive neutral intranet"
"57","Abbott Inc","Down-sized 6th generation standardization"
"58","VonRueden LLC","Centralized global artificial intelligence"
"59","Dooley - Goodwin","Enhanced upward-trending budgetary management"
"60","Hansen - Parker","Networked object-oriented throughput"
"61","Wolf - Littel","Reverse-engineered national adapter"
"62","Mayer, McDermott and Feil","De-engineered bi-directional parallelism"
"63","Gislason, Turner and Schaden","Ergonomic bandwidth-monitored info-mediaries"
"64","Harvey, Ryan and Mayert","Cloned bi-directional website"
"65","Gleichner - Littel","Optional 24/7 extranet"
"66","DuBuque LLC","Vision-oriented discrete encoding"
